id,value
Topic5.sandwich, 0.0063708224
Topic5.good, 0.0063551557
Topic5.bbq, 0.006294604
Topic5.lb, 0.005479934
Topic5.like, 0.004971472
Topic5.99, 0.0048600035
Topic5.mike, 0.00478381
Topic5.brown, 0.0046023303
Topic5.baby, 0.004530641
Topic6,
Topic6.thai, 0.10521325
Topic6.bartenders, 0.07476504
Topic6.waitresses, 0.040618267
Topic6.season, 0.024559837
Topic6.wont, 0.019418096
Topic6.substitute, 0.018620411
Topic6.flavoring, 0.018110795
Topic6.catch, 0.017651737
Topic6.curry, 0.017304396
Topic6.positive, 0.017035482
Topic6.5th, 0.017009428
Topic6.accommodating, 0.016431732
Topic6.complimented, 0.015727008
Topic6.prep, 0.015462006
Topic6.watched, 0.01537053
Topic7,
Topic7.nasty, 0.028903946
Topic7.17, 0.024502447
Topic7.lacked, 0.01909874
Topic7.shut, 0.016832795
Topic7.contact, 0.0155825615
Topic7.minimum, 0.013661929
Topic7.thigh, 0.013427523
Topic7.leftover, 0.013401263
Topic7.tries, 0.013396456
Topic7.tilapia, 0.012707386
Topic7.9pm, 0.011793517
Topic7.team, 0.011202928
Topic7.outdoors, 0.011113677
Topic7.quest, 0.010128487
Topic7.throwing, 0.0100926515
Topic8,
Topic8.toast, 0.13810116
Topic8.french, 0.09174719
Topic8.environment, 0.05080445
Topic8.grew, 0.026461264
Topic8.freaking, 0.02595558
Topic8.alright, 0.024426503
Topic8.mcdonalds, 0.02347253
Topic8.clubs, 0.01988347
Topic8.melt, 0.019261988
Topic8.conclusion, 0.01884559
Topic8.breakfast, 0.01768383
Topic8.eggs, 0.017254418
Topic8.delivers, 0.016744705
Topic8.honor, 0.01635226
Topic8.nicer, 0.014095105
Topic9,
Topic9.overpriced, 0.04746724
Topic9.squid, 0.04444637
Topic9.chain, 0.03667488
Topic9.sucks, 0.033686977
Topic9.kale, 0.02828234
Topic9.mash, 0.02514664
Topic9.pleased, 0.024080709
Topic9.andrew, 0.02374531
Topic9.fool, 0.02210438
Topic9.az, 0.021323416
Topic9.2nd, 0.020860994
Topic9.gracious, 0.014419952
Topic9.refilling, 0.013985927
Topic9.living, 0.013237622
Topic9.gaming, 0.012425838
Topic10,
Topic10.daughter, 0.01128982
Topic10.cash, 0.0070730797
Topic10.discount, 0.006954072
Topic10.paper, 0.0069475924
Topic10.place, 0.006725914
Topic10.service, 0.0060245874
Topic10.left, 0.0057636835
Topic10.return, 0.005594004
Topic10.bartender, 0.005555481
Topic10.sat, 0.0054497374
Topic10.beer, 0.0053799204
Topic10.stood, 0.00528909
Topic10.owner, 0.0050211917
Topic10.decided, 0.004969364
Topic10.ran, 0.004802338
Topic11,
Topic11.darn, 0.031555112
Topic11.mins, 0.02907866
Topic11.hooked, 0.028587345
Topic11.oysters, 0.020482231
Topic11.listed, 0.018629225
Topic11.rose, 0.018505394
Topic11.cocktail, 0.016614003
Topic11.straws, 0.015736483
Topic11.gristle, 0.015700487
Topic11.horseradish, 0.014062825
Topic11.trained, 0.013664287
Topic11.51, 0.012678379
Topic11.feature, 0.0122793615
Topic11.da, 0.01214561
Topic11.epic, 0.011770781
Topic12,
Topic12.chips, 0.066991486
Topic12.fish, 0.05018425
Topic12.owners, 0.036343772
Topic12.luck, 0.032668877
Topic12.calamari, 0.026759565
Topic12.timely, 0.025198305
Topic12.arizona, 0.02425412
Topic12.hasn, 0.024007637
Topic12.coast, 0.02395723
Topic12.rave, 0.02313839
Topic12.teeth, 0.02312705
Topic12.wings, 0.02168864
Topic12.mmmmm, 0.019903546
Topic12.homemade, 0.019258631
Topic12.manner, 0.018690731
Topic13,
Topic13.noodles, 0.12600705
Topic13.affordable, 0.044337854
Topic13.combos, 0.026435966
Topic13.cucumber, 0.026375279
Topic13.san, 0.02518614
Topic13.diego, 0.023170358
Topic13.sesame, 0.021410624
Topic13.pack, 0.019550519
Topic13.china, 0.018778581
Topic13.pricy, 0.018557161
Topic13.sundays, 0.017330227
Topic13.iceberg, 0.015041326
Topic13.styles, 0.014852701
Topic13.signature, 0.014842374
Topic13.traveling, 0.0145875
Topic14,
Topic14.dont, 0.05176949
Topic14.beat, 0.05027863
Topic14.fave, 0.040129133
Topic14.reheated, 0.034729734
Topic14.tuesday, 0.034178074
Topic14.fail, 0.032618932
Topic14.terribly, 0.031113591
Topic14.likes, 0.031052794
Topic14.properly, 0.029631484
Topic14.punch, 0.028162243
Topic14.die, 0.026997618
Topic14.didnt, 0.02558465
Topic14.thats, 0.01997373
Topic14.considered, 0.01723063
Topic14.venture, 0.015531109
Topic15,
Topic15.que, 0.018606545
Topic15.chill, 0.01706526
Topic15.buffet, 0.011489427
Topic15.place, 0.010044879
Topic15.hong, 0.009098259
Topic15.kong, 0.008876452
Topic15.fun, 0.008375141
Topic15.cool, 0.007942801
Topic15.everybody, 0.0079349335
Topic15.club, 0.007565736
Topic15.good, 0.0073774806
Topic15.lighting, 0.0073249866
Topic15.great, 0.0070714685
Topic15.brand, 0.0068573277
Topic15.bar, 0.005943678
Topic16,
Topic16.tips, 0.06887782
Topic16.locations, 0.029799862
Topic16.courteous, 0.02710207
Topic16.knowledgeable, 0.020747297
Topic16.barley, 0.01915652
Topic16.fridays, 0.018718217
Topic16.efficient, 0.01822481
Topic16.piping, 0.017392302
Topic16.groups, 0.01539199
Topic16.professional, 0.015298604
Topic16.manage, 0.015239586
Topic16.dough, 0.015220402
Topic16.moved, 0.014202567
Topic16.chris, 0.0141865425
Topic16.pregnant, 0.012887523
Topic17,
Topic17.soul, 0.021399334
Topic17.girls, 0.016320014
Topic17.machine, 0.013037654
Topic17.waste, 0.012114209
Topic17.chop, 0.011531735
Topic17.shot, 0.010714001
Topic17.wet, 0.010534265
Topic17.raised, 0.009520589
Topic17.yep, 0.009213768
Topic17.money, 0.008791148
Topic17.tired, 0.0075699473
Topic17.golf, 0.007476528
Topic17.broken, 0.0072344462
Topic17.eventually, 0.006868965
Topic17.hurt, 0.006402966
Topic18,
Topic18.smoke, 0.12793456
Topic18.com, 0.036206752
Topic18.http, 0.027744232
Topic18.www, 0.025911551
Topic18.wednesday, 0.023872849
Topic18.select, 0.022103408
Topic18.delish, 0.018978767
Topic18.yelp, 0.016451003
Topic18.biz_photos, 0.016363347
Topic18.reminded, 0.01568592
Topic18.workers, 0.015550997
Topic18.ice, 0.014924782
Topic18.hook, 0.014221054
Topic18.driven, 0.013479846
Topic18.brewed, 0.012370329
Topic19,
Topic19.noodle, 0.062076695
Topic19.football, 0.060711082
Topic19.craft, 0.060500152
Topic19.pretzel, 0.05393222
Topic19.buns, 0.038262054
Topic19.meaty, 0.031431045
Topic19.brew, 0.019886615
Topic19.queso, 0.019220356
Topic19.snack, 0.019196607
Topic19.monday, 0.017732512
Topic19.bun, 0.014543673
Topic19.hop, 0.014230898
Topic19.ave, 0.01251391
Topic19.risotto, 0.012482483
Topic19.site, 0.0121960845
Topic20,
Topic20.links, 0.053193517
Topic20.yesterday, 0.027411364
Topic20.spam, 0.02099164
Topic20.samples, 0.019085554
Topic20.moon, 0.014234762
Topic20.lines, 0.012623126
Topic20.management, 0.011992572
Topic20.employees, 0.011758372
Topic20.loco, 0.011240159
Topic20.managers, 0.009408303
Topic20.edinburgh, 0.009344193
Topic20.address, 0.009052566
Topic20.tourist, 0.008597606
Topic20.surprising, 0.0081975395
Topic20.industrial, 0.008153581
Topic21,
Topic21.mustard, 0.015870921
Topic21.dogs, 0.010056841
Topic21.holy, 0.009551286
Topic21.shack, 0.00835554
Topic21.goodness, 0.007025909
Topic21.cocktails, 0.0064822566
Topic21.win, 0.0062117954
Topic21.beer, 0.006133686
Topic21.pad, 0.0061252606
Topic21.beers, 0.006057897
Topic21.pickled, 0.005931044
Topic21.great, 0.0057032406
Topic21.place, 0.005558006
Topic21.themed, 0.0054921154
Topic21.good, 0.005410175
Topic22,
Topic22.hawaiian, 0.11986031
Topic22.belly, 0.05621875
Topic22.catered, 0.028085912
Topic22.jar, 0.027131561
Topic22.mason, 0.02244913
Topic22.ridiculously, 0.021240933
Topic22.tomorrow, 0.02005542
Topic22.wash, 0.018192403
Topic22.eh, 0.015803749
Topic22.clothes, 0.014988831
Topic22.forgetting, 0.013488307
Topic22.sweat, 0.011858968
Topic22.weekdays, 0.010390296
Topic22.ease, 0.010007067
Topic22.health, 0.009930314
Topic23,
Topic23.law, 0.02865156
Topic23.mother, 0.023419693
Topic23.hidden, 0.020571066
Topic23.fyi, 0.019975629
Topic23.forever, 0.019439552
Topic23.cod, 0.019283717
Topic23.shots, 0.019219741
Topic23.faster, 0.01734571
Topic23.hotter, 0.01462201
Topic23.neck, 0.014319998
Topic23.apologetic, 0.013961261
Topic23.ur, 0.012746395
Topic23.gift, 0.012030896
Topic23.pair, 0.011505719
Topic23.shirt, 0.011429846
Topic24,
Topic24.smoky, 0.023396026
Topic24.tv, 0.021548625
Topic24.games, 0.015912646
Topic24.bar, 0.011874114
Topic24.good, 0.011706726
Topic24.place, 0.010500022
Topic24.smoke, 0.01031181
Topic24.beer, 0.009998661
Topic24.great, 0.009365305
Topic24.game, 0.008536625
Topic24.decent, 0.007637603
Topic24.lots, 0.0075998195
Topic24.lean, 0.0073072123
Topic24.happy, 0.0062346784
Topic24.service, 0.0060858997
Topic25,
Topic25.dance, 0.036761913
Topic25.dancing, 0.030955015
Topic25.kansas, 0.02752645
Topic25.karaoke, 0.027076686
Topic25.watery, 0.02527749
Topic25.crunch, 0.023280675
Topic25.floor, 0.019675191
Topic25.drenched, 0.018895289
Topic25.spots, 0.015415941
Topic25.beverage, 0.015098164
Topic25.downside, 0.014779791
Topic25.news, 0.011839353
Topic25.city, 0.0116281975
Topic25.puts, 0.011613128
Topic25.madison, 0.010851833
Topic26,
Topic26.roast, 0.051076207
Topic26.muffins, 0.043284215
Topic26.meh, 0.041977644
Topic26.jerky, 0.027072027
Topic26.mon, 0.02496234
Topic26.sampled, 0.023959681
Topic26.flavorless, 0.02046929
Topic26.imo, 0.019856103
Topic26.shame, 0.019065507
Topic26.costco, 0.01827615
Topic26.fridge, 0.017090647
Topic26.hearing, 0.016897071
Topic26.longer, 0.015769
Topic26.memory, 0.014884801
Topic26.mini, 0.014539599
Topic27,
Topic27.joe, 0.12136714
Topic27.bomb, 0.047870737
Topic27.phenomenal, 0.046213377
Topic27.personable, 0.02104743
Topic27.exception, 0.020745836
Topic27.key, 0.019776514
Topic27.beware, 0.018912768
Topic27.comped, 0.01867078
Topic27.complaining, 0.017667366
Topic27.community, 0.01615659
Topic27.low, 0.014909967
Topic27.mid, 0.014676188
Topic27.pesto, 0.013536831
Topic27.private, 0.013056275
Topic27.au, 0.012804046
Topic28,
Topic28.cowboy, 0.053474396
Topic28.keeping, 0.029045124
Topic28.chat, 0.026392136
Topic28.generally, 0.024623234
Topic28.awful, 0.02366466
Topic28.thumbs, 0.020959398
Topic28.photos, 0.018695403
Topic28.obvious, 0.018639961
Topic28.march, 0.017134354
Topic28.accidentally, 0.016472442
Topic28.race, 0.016151313
Topic28.cramped, 0.015851999
Topic28.genius, 0.01541801
Topic28.upstairs, 0.015047815
Topic28.paste, 0.014982397
Topic29,
Topic29.pizza, 0.030181654
Topic29.corn, 0.019944856
Topic29.pickles, 0.017285187
Topic29.tacos, 0.016594747
Topic29.good, 0.012762981
Topic29.fried, 0.0122226
Topic29.fries, 0.011055001
Topic29.chicken, 0.008408773
Topic29.place, 0.007882517
Topic29.great, 0.007846902
Topic29.salsa, 0.0076579293
Topic29.chopped, 0.0072229905
Topic29.crisp, 0.006395401
Topic29.really, 0.0059823585
Topic29.sauce, 0.0059635527
Topic30,
Topic30.country, 0.024798628
Topic30.neighborhood, 0.022860495
Topic30.airport, 0.01597442
Topic30.dad, 0.015574694
Topic30.sticks, 0.012076174
Topic30.beer, 0.0119041875
Topic30.bartender, 0.011523398
Topic30.mac, 0.011382771
Topic30.weak, 0.011177904
Topic30.cute, 0.010760763
Topic30.st, 0.01029783
Topic30.cuz, 0.008841773
Topic30.8pm, 0.0087179635
Topic30.good, 0.008164757
Topic30.ride, 0.007882362
Topic31,
Topic31.yum, 0.09931636
Topic31.expert, 0.034961063
Topic31.stone, 0.032141767
Topic31.6pm, 0.029368842
Topic31.choosing, 0.023456352
Topic31.enormous, 0.022373663
Topic31.intended, 0.02085686
Topic31.opt, 0.019898226
Topic31.expectation, 0.018879604
Topic31.pun, 0.018779108
Topic31.field, 0.018395972
Topic31.barbecued, 0.017977614
Topic31.unlike, 0.017850278
Topic31.negatives, 0.01503812
Topic31.holidays, 0.014922697
Topic32,
Topic32.taco, 0.047761105
Topic32.crew, 0.039162513
Topic32.sandwhich, 0.03613711
Topic32.pull, 0.035996675
Topic32.father, 0.032045055
Topic32.lbs, 0.025079262
Topic32.32, 0.02446045
Topic32.concern, 0.021427322
Topic32.porch, 0.02002835
Topic32.wisconsin, 0.019915909
Topic32.redeeming, 0.018285338
Topic32.remove, 0.017268158
Topic32.maple, 0.01701689
Topic32.sells, 0.016893104
Topic32.1pm, 0.015597335
Topic33,
Topic33.ring, 0.04102834
Topic33.ends, 0.04096379
Topic33.ketchup, 0.035010148
Topic33.sticky, 0.02768311
Topic33.regulars, 0.020662349
Topic33.strawberry, 0.020189408
Topic33.sizes, 0.01711944
Topic33.burned, 0.015508232
Topic33.sucked, 0.014513897
Topic33.brick, 0.012679658
Topic33.booth, 0.011882109
Topic33.shoe, 0.011594893
Topic33.forks, 0.011243922
Topic33.sloppy, 0.010850183
Topic33.hardly, 0.008824351
Topic34,
Topic34.breakfast, 0.051069066
Topic34.burrito, 0.030396694
Topic34.chow, 0.03018786
Topic34.gross, 0.028980514
Topic34.sick, 0.022437872
Topic34.ratings, 0.02112228
Topic34.gal, 0.015872521
Topic34.suggestion, 0.015417388
Topic34.vegan, 0.0151906675
Topic34.greatly, 0.014109113
Topic34.sooo, 0.013451723
Topic34.charging, 0.01273826
Topic34.hopping, 0.010507658
Topic34.months, 0.010381744
Topic34.gm, 0.010332067
Topic35,
Topic35.smoking, 0.035257205
Topic35.hip, 0.03037474
Topic35.owned, 0.027211571
Topic35.apologized, 0.02389139
Topic35.changing, 0.021369746
Topic35.stir, 0.018179027
Topic35.informed, 0.016288364
Topic35.tequila, 0.0154751595
Topic35.booze, 0.015284309
Topic35.swimming, 0.013621992
Topic35.daddy, 0.012571868
Topic35.addicting, 0.012318385
Topic35.listening, 0.011821149
Topic35.smoke, 0.011472281
Topic35.lie, 0.010943544
Topic36,
Topic36.apple, 0.114892356
Topic36.backs, 0.04340556
Topic36.smelled, 0.029323107
Topic36.boiled, 0.023426332
Topic36.stumbled, 0.02058689
Topic36.allowed, 0.016068708
Topic36.stops, 0.015586461
Topic36.outback, 0.015093419
Topic36.fights, 0.014773911
Topic36.thee, 0.01421395
Topic36.steep, 0.013602463
Topic36.fatty, 0.013159447
Topic36.minus, 0.012881405
Topic36.tart, 0.012736605
Topic36.irritated, 0.012344655
Topic37,
Topic37.birthday, 0.0089405915
Topic37.service, 0.0072138924
Topic37.received, 0.006813304
Topic37.coupon, 0.006781297
Topic37.card, 0.0065077064
Topic37.00, 0.006412219
Topic37.left, 0.006184444
Topic37.charged, 0.005837408
Topic37.paid, 0.005513446
Topic37.chips, 0.005404778
Topic37.bartender, 0.005270651
Topic37.charge, 0.0051171524
Topic37.sent, 0.00496237
Topic37.credit, 0.0049467757
Topic37.rib, 0.0049341535
Topic38,
Topic38.great, 0.04860609
Topic38.service, 0.02683386
Topic38.good, 0.025210699
Topic38.place, 0.023421343
Topic38.love, 0.020757182
Topic38.friendly, 0.019487726
Topic38.awesome, 0.018738734
Topic38.atmosphere, 0.018395808
Topic38.staff, 0.017400915
Topic38.happy, 0.014858663
Topic38.excellent, 0.014655772
Topic38.hour, 0.012738552
Topic38.amazing, 0.012656542
Topic38.best, 0.012012964
Topic38.prices, 0.011572092
Topic39,
Topic39.strips, 0.052138552
Topic39.cave, 0.044000063
Topic39.shredded, 0.027656652
Topic39.everyday, 0.027321683
Topic39.cons, 0.027298927
Topic39.downtown, 0.026884867
Topic39.pros, 0.024321893
Topic39.definite, 0.021307835
Topic39.improvement, 0.019319087
Topic39.cornish, 0.012852673
Topic39.parmesan, 0.01273742
Topic39.pita, 0.012360686
Topic39.fusion, 0.011914634
Topic39.charm, 0.011785934
Topic39.caramelized, 0.011253262
Topic40,
Topic40.gilbert, 0.0407839
Topic40.whiskey, 0.032759
Topic40.tx, 0.030758984
Topic40.hair, 0.02217992
Topic40.rip, 0.016364686
Topic40.plastic, 0.015661625
Topic40.pasta, 0.013765689
Topic40.upbeat, 0.012998497
Topic40.helps, 0.012250545
Topic40.reserved, 0.0121787675
Topic40.promised, 0.010963077
Topic40.dump, 0.010519122
Topic40.italian, 0.0097211255
Topic40.aged, 0.009581007
Topic40.obsessed, 0.00893857
Topic41,
Topic41.im, 0.016269254
Topic41.ive, 0.016258035
Topic41.app, 0.015234048
Topic41.korean, 0.015105983
Topic41.young, 0.010385387
Topic41.korea, 0.009595227
Topic41.distance, 0.0080215065
Topic41.personality, 0.0075788167
Topic41.famous, 0.0072323936
Topic41.ramen, 0.007025433
Topic41.states, 0.006695463
Topic41.advertise, 0.006627638
Topic41.circle, 0.006450716
Topic41.car, 0.0064204894
Topic41.place, 0.0061536683
Topic42,
Topic42.sam, 0.055669013
Topic42.margarita, 0.05084623
Topic42.cocktails, 0.027762283
Topic42.ample, 0.025208665
Topic42.tab, 0.023393398
Topic42.hung, 0.021158202
Topic42.drafts, 0.018111078
Topic42.fuss, 0.017128883
Topic42.wallet, 0.016732993
Topic42.closer, 0.015649514
Topic42.gladly, 0.015522265
Topic42.died, 0.014202857
Topic42.sing, 0.014128985
Topic42.package, 0.0140468525
Topic42.comfort, 0.013957364
Topic43,
Topic43.corn, 0.16695943
Topic43.dog, 0.058726102
Topic43.waffle, 0.05812013
Topic43.ribeye, 0.027923737
Topic43.liver, 0.020034445
Topic43.update, 0.01904278
Topic43.sooooo, 0.017452931
Topic43.famous, 0.016926015
Topic43.poker, 0.01547117
Topic43.lame, 0.0138383815
Topic43.settle, 0.011837041
Topic43.entertained, 0.011576978
Topic43.fat, 0.011054868
Topic43.crack, 0.010717769
Topic43.occasionally, 0.010288154
Topic44,
Topic44.tots, 0.06366596
Topic44.welcome, 0.04123716
Topic44.dang, 0.027774394
Topic44.gem, 0.026499838
Topic44.fountain, 0.026045563
Topic44.snob, 0.022826549
Topic44.members, 0.019988114
Topic44.women, 0.017616263
Topic44.following, 0.015811726
Topic44.success, 0.015629893
Topic44.meeting, 0.015056061
Topic44.bone, 0.014853319
Topic44.deer, 0.014557354
Topic44.trips, 0.0145552615
Topic44.unsweetened, 0.013674137
Topic45,
Topic45.place, 0.008153497
Topic45.good, 0.0068129054
Topic45.just, 0.0055419183
Topic45.great, 0.0053120763
Topic45.like, 0.005027793
Topic45.time, 0.004943218
Topic45.bbq, 0.0046576327
Topic45.really, 0.0044890256
Topic45.crowd, 0.0044563385
Topic45.ve, 0.0043773092
Topic45.bell, 0.0041730176
Topic45.menu, 0.004077752
Topic45.vegas, 0.004063541
Topic45.big, 0.003958182
Topic45.service, 0.0039311545
Topic46,
Topic46.jalapeno, 0.057373613
Topic46.kfc, 0.031150708
Topic46.edible, 0.022021415
Topic46.smelling, 0.020224033
Topic46.register, 0.017089276
Topic46.parties, 0.014061682
Topic46.blt, 0.012051543
Topic46.annoyed, 0.010711322
Topic46.experienced, 0.0102426605
Topic46.cups, 0.008988679
Topic46.calories, 0.008908658
Topic46.surroundings, 0.008792135
Topic46.singing, 0.008230042
Topic46.presence, 0.007996932
Topic46.solely, 0.0076378137
Topic47,
Topic47.bone, 0.05573008
Topic47.specials, 0.046789184
Topic47.yams, 0.045029446
Topic47.soy, 0.03826988
Topic47.cafeteria, 0.036004066
Topic47.oven, 0.03489234
Topic47.spacious, 0.027621616
Topic47.vibe, 0.024058506
Topic47.earth, 0.020310424
Topic47.agree, 0.019375905
Topic47.scottsdale, 0.0190785
Topic47.candied, 0.01754495
Topic47.lose, 0.017048445
Topic47.likely, 0.017019263
Topic47.iced, 0.016075386
Topic48,
Topic48.hole, 0.035997532
Topic48.cent, 0.034690663
Topic48.frills, 0.03274184
Topic48.dinning, 0.032417987
Topic48.heading, 0.03091207
Topic48.buddy, 0.029055329
Topic48.wall, 0.0253361
Topic48.cooper, 0.024406869
Topic48.entertaining, 0.02035502
Topic48.exceeded, 0.017893162
Topic48.soooooo, 0.017354012
Topic48.impeccable, 0.017247094
Topic48.expectations, 0.016510805
Topic48.processed, 0.016228339
Topic48.kidding, 0.015022767
Topic49,
Topic49.southern, 0.08936993
Topic49.jerk, 0.045292843
Topic49.california, 0.03612921
Topic49.muffin, 0.033847034
Topic49.yuck, 0.026117766
Topic49.creative, 0.025554279
Topic49.dip, 0.021542415
Topic49.combinations, 0.015717315
Topic49.venetian, 0.015365984
Topic49.raise, 0.015348213
Topic49.biased, 0.015145117
Topic49.uses, 0.014923449
Topic49.sweetened, 0.014116953
Topic49.lesson, 0.013553008
Topic49.purchased, 0.013405036
Topic50,
Topic50.delivery, 0.02664769
Topic50.mom, 0.012472486
Topic50.bowls, 0.010271346
Topic50.tasteless, 0.0101163285
Topic50.stopping, 0.009267818
Topic50.tapas, 0.009068499
Topic50.pride, 0.008794243
Topic50.bowl, 0.008318435
Topic50.crap, 0.008181358
Topic50.overs, 0.008101896
Topic50.wedding, 0.007895025
Topic50.grandma, 0.00765695
Topic50.po, 0.0076157106
Topic50.boy, 0.0069256546
Topic50.regardless, 0.00653791
Topic51,
Topic51.amazingly, 0.03700316
Topic51.partner, 0.03092694
Topic51.messy, 0.028879458
Topic51.comparable, 0.02505513
Topic51.inedible, 0.021441566
Topic51.flamingo, 0.02071112
Topic51.buddies, 0.019859597
Topic51.saucy, 0.019801576
Topic51.mothers, 0.016997289
Topic51.worse, 0.015327003
Topic51.blown, 0.015063813
Topic51.chewing, 0.013737333
Topic51.passion, 0.0134108085
Topic51.beach, 0.01330327
Topic51.amazed, 0.012878727
Topic52,
Topic52.louis, 0.10792246
Topic52.baseball, 0.038785953
Topic52.thumb, 0.034676872
Topic52.martini, 0.025796307
Topic52.microwave, 0.025169158
Topic52.thank, 0.02507244
Topic52.god, 0.024052383
Topic52.issues, 0.021411244
Topic52.master, 0.018104047
Topic52.lately, 0.01595716
Topic52.cleaner, 0.01536352
Topic52.wax, 0.014341203
Topic52.easier, 0.014063346
Topic52.hats, 0.013949294
Topic52.impression, 0.012915926
Topic53,
Topic53.consistent, 0.059933692
Topic53.broccoli, 0.045318596
Topic53.continue, 0.03705723
Topic53.carne, 0.03124174
Topic53.gluten, 0.028804034
Topic53.deserves, 0.027282473
Topic53.rough, 0.025419844
Topic53.cozy, 0.024443535
Topic53.cover, 0.020475717
Topic53.letting, 0.020218335
Topic53.aware, 0.019533616
Topic53.patron, 0.017757982
Topic53.hankering, 0.015580451
Topic53.laws, 0.014799939
Topic53.sketchy, 0.014143147
Topic54,
Topic54.rock, 0.03378799
Topic54.mahi, 0.01857547
Topic54.ignored, 0.017509572
Topic54.containers, 0.0146071855
Topic54.closest, 0.013694622
Topic54.cakes, 0.013078177
Topic54.corn, 0.011944242
Topic54.cow, 0.0116290115
Topic54.companion, 0.010400279
Topic54.summer, 0.010351797
Topic54.weather, 0.010250063
Topic54.boxes, 0.009189359
Topic54.million, 0.009112655
Topic54.insane, 0.008921412
Topic54.blonde, 0.008821246
Topic55,
Topic55.chinatown, 0.03482018
Topic55.toasted, 0.02694094
Topic55.midnight, 0.024682533
Topic55.potatoe, 0.024353327
Topic55.buffets, 0.022484776
Topic55.failed, 0.020616278
Topic55.ahi, 0.019911224
Topic55.feet, 0.019649094
Topic55.understaffed, 0.01601192
Topic55.ridiculous, 0.015399212
Topic55.dead, 0.014875992
Topic55.swing, 0.014743254
Topic55.scoops, 0.014668424
Topic55.rotisserie, 0.01380796
Topic55.hopefully, 0.013552726
Topic56,
Topic56.pound, 0.026681963
Topic56.families, 0.02428303
Topic56.bathrooms, 0.018293165
Topic56.shake, 0.016441792
Topic56.hire, 0.014719447
Topic56.saloon, 0.013420818
Topic56.crappy, 0.012571363
Topic56.neat, 0.0118411435
Topic56.thursdays, 0.0113228895
Topic56.outdoor, 0.010159234
Topic56.dumb, 0.0100068515
Topic56.duty, 0.009446865
Topic56.pear, 0.008622308
Topic56.cell, 0.008462423
Topic56.fireplace, 0.0077389353
Topic57,
Topic57.beans, 0.02353998
Topic57.baked, 0.023097776
Topic57.duck, 0.017207857
Topic57.wings, 0.015382408
Topic57.bobby, 0.0151419565
Topic57.chili, 0.012392193
Topic57.ribs, 0.012208468
Topic57.good, 0.00935649
Topic57.mexican, 0.008943515
Topic57.great, 0.008664468
Topic57.place, 0.008648346
Topic57.fall, 0.008163187
Topic57.phoenix, 0.008046589
Topic57.best, 0.008022271
Topic57.rib, 0.007927193
Topic58,
Topic58.rib, 0.13074963
Topic58.prime, 0.07387021
Topic58.picnic, 0.05241159
Topic58.patio, 0.04822248
Topic58.pleasantly, 0.04338801
Topic58.rocks, 0.037036467
Topic58.surprised, 0.033031818
Topic58.silverware, 0.028456727
Topic58.wedge, 0.022978794
Topic58.ahead, 0.022369482
